,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,Latency StdDev (s),0.000038,0.000085,0.000086,0.000122,0.00018,0.000038,0.00018,0.0001022,0.00064,0.000663,0.000672,0.000672,0.00067,0.00064,0.000672,0.0006634,0.000053,0.000132,0.000117,0.000117,0.000033,0.000033,0.000132,0.0000904,0.000105,0.000069,0.000133,0.000211,0.000263,0.000069,0.000263,0.0001562,Latency StdDev (s),0.0001022,0.0006634,0.0000904
Accept All (Maximum Concurrency),perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perf,,,
,cycles,1949996,1669358,2153635,2183756,1953431,1669358,2183756,1982035.2,1982494,3958031,1964553,2173244,1480551,1480551,3958031,2311774.6,2200328,2288123,1893322,2096407,2093887,1893322,2288123,2114413.4,,,,,,,,,cycles,1982035.2,2311774.6,2114413.4
,instructions,1008800,989431,996754,1004016,996489,989431,1008800,999098,1011307,1628495,1049337,1035141,1011064,1011064,1628495,1147068.8,997269,998995,996133,991205,982779,982779,998995,993276.2,,,,,,,,,instructions,999098,1147068.8,993276.2
,cache-references,379673,370561,379361,381732,373811,370561,381732,377027.6,382389,627779,395328,396057,377982,377982,627779,435907,374733,378769,372705,377278,369196,369196,378769,374536.2,,,,,,,,,cache-references,377027.6,435907,374536.2
,cache-misses,8361,8785,8880,8830,8921,8361,8921,8755.4,8840,17069,9486,10312,8496,8496,17069,10840.6,9677,8805,8743,8791,8544,8544,9677,8912,,,,,,,,,cache-misses,8755.4,10840.6,8912
,branches,197990,194691,196165,197646,195276,194691,197990,196353.6,198421,320204,206447,201976,199828,198421,320204,225375.2,194795,197162,195324,195017,193370,193370,197162,195133.6,,,,,,,,,branches,196353.6,225375.2,195133.6
,branch-misses,12008,10375,12019,12142,10694,10375,12142,11447.6,11540,25981,13303,11924,10471,10471,25981,14643.8,9644,11891,10475,11881,10900,9644,11891,10958.2,,,,,,,,,branch-misses,11447.6,14643.8,10958.2
,page-faults,23,23,22,22,22,22,23,22.4,29,29,29,30,29,29,30,29.2,22,23,22,23,23,22,23,22.6,,,,,,,,,page-faults,22.4,29.2,22.6
,context-switches,3,2,3,4,3,2,4,3,2,29,5,2,2,2,29,8,2,3,2,2,1,1,3,2,,,,,,,,,context-switches,3,8,2
,cpu-migrations,2,0,0,0,0,0,2,0.4,0,3,0,1,0,0,3,0.8,0,1,1,0,0,0,1,0.4,,,,,,,,,cpu-migrations,0.4,0.8,0.4
,LLC-load-misses,9077,8706,9148,10580,8492,8492,10580,9200.6,9287,20094,13517,13150,8232,8232,20094,12856,11491,10912,11249,9786,10381,9786,11491,10763.8,,,,,,,,,LLC-load-misses,9200.6,12856,10763.8
,time elapsed (s),121.1234675,120.1248435,119.1208723,118.1280819,117.1256677,117.1256677,121.1234675,119.1245866,113.0764118,114.0766439,115.0771142,115.0809224,115.0655304,113.0764118,115.0809224,114.4753246,149.1500424,149.1512949,147.1486382,148.1482551,148.1479061,147.1486382,149.1512949,148.3492273,,,,,,,,,time elapsed (s),119.1245866,114.4753246,148.3492273
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dnsperf,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,Queries sent,5000000,5000000,5000000
,Queries completed,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,4999999,4999995,4999996,4999996,4999994,4999994,4999999,4999996,,,,,,,,,Queries completed,5000000,5000000,4999996
,Queries lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4,6,1,6,4,,,,,,,,,Queries lost,0,0,4
